"rules";"support";"confidence";"lift";"count"
"{SECTEUR CHAMBERY} => {REGION CO 73}";0,0126000829372548;1;16,4045002616431;395
"{SECTEUR CHAMBERY} => {Nature: PP}";0,0116112156687614;0,921518987341772;1,05298701418543;364
"{SECTEUR SUD NIEVRE} => {REGION CO 58}";0,0126000829372548;1;27,0483175150992;395
"{SECTEUR SUD NIEVRE} => {Area: 1- RURAL AGE}";0,0114836198921816;0,911392405063291;3,21386282410901;360
"{SECTEUR SUD NIEVRE} => {Nature: PP}";0,0106542473444129;0,845569620253165;0,966202370159156;334
"{SECTEUR BRESSE 71} => {REGION CO 71}";0,0125043861048199;1;8,57467177242888;392
"{SECTEUR BRESSE 71} => {Area: 1- RURAL AGE}";0,0104628536795432;0,836734693877551;2,95059571635178;328
"{SECTEUR BRESSE 71} => {Nature: PP}";0,0115793167246164;0,926020408163265;1,05813062786624;363
"{SECTEUR BOURG} => {REGION CO 01}";0,0126319818813997;1;11,4162418062637;396
"{SECTEUR BOURG} => {Area: 2- RURAL DYNAMIQUE}";0,0112603272831669;0,891414141414141;2,27379511140699;353
"{SECTEUR BOURG} => {Nature: PP}";0,0109732367858624;0,868686868686869;0,992617628812271;344
"{SECTEUR DOMES COMBRAILLES} => {REGION CO 63}";0,0128871734345593;1;12,9755794701987;404
"{SECTEUR DOMES COMBRAILLES} => {Nature: PP}";0,0113241251714568;0,878712871287129;1,00407398585676;355
"{SECTEUR SUD BEAUJOLAIS} => {REGION CO 69}";0,0130147692111391;1;6,69707327494125;408
"{SECTEUR SUD BEAUJOLAIS} => {Area: 2- RURAL DYNAMIQUE}";0,0112603272831669;0,865196078431373;2,2069187846009;353
"{SECTEUR SUD BEAUJOLAIS} => {Nature: PP}";0,0120896998309356;0,928921568627451;1,06144568087851;379
"{SECTEUR EST LOIRE} => {REGION CO 42 43}";0,0131742639318639;1;7,32624444963777;413
"{SECTEUR EST LOIRE} => {Area: 2- RURAL DYNAMIQUE}";0,0107499441768477;0,815980629539952;2,08138134706655;337
"{SECTEUR EST LOIRE} => {Nature: PP}";0,0113241251714568;0,85956416464891;0,982193438949469;355
"{SECTEUR OUEST NIEVRE} => {REGION CO 58}";0,0133018597084437;1;27,0483175150992;417
"{SECTEUR OUEST NIEVRE} => {Nature: PP}";0,0113560241156018;0,853717026378897;0,975512121740552;356
"{AGENCE DE LYON VAISE} => {SECTEUR LYON}";0,0130147692111391;1;24,6454402515723;408
"{AGENCE DE LYON VAISE} => {REGION CO 69}";0,0130147692111391;1;6,69707327494125;408
"{AGENCE DE LYON VAISE} => {Nature: PP}";0,0128233755462694;0,985294117647059;1,12586059027219;402
"{SECTEUR LES BORNES} => {REGION CO 74}";0,0134613544291684;1;11,679955290611;422
"{SECTEUR LES BORNES} => {Nature: PP}";0,0121534977192255;0,902843601895735;1,03164731459192;381
"{SECTEUR CLERMONT FERRAND} => {REGION CO 63}";0,0132699607642987;1;12,9755794701987;416
"{SECTEUR CLERMONT FERRAND} => {Nature: PP}";0,0129190723787043;0,973557692307692;1,11244979391849;405
"{SECTEUR CENTRE 71} => {REGION CO 71}";0,0134932533733133;1;8,57467177242888;423
"{SECTEUR CENTRE 71} => {Nature: PP}";0,0107818431209927;0,799054373522459;0,913051049956463;338
"{SECTEUR BRESSE} => {REGION CO 01}";0,0136527480940381;1;11,4162418062637;428
"{SECTEUR BRESSE} => {Nature: PP}";0,0123129924399502;0,901869158878505;1,03053385316866;386
"{SECTEUR EST ISERE} => {REGION CO 38}";0,0137803438706179;1;7,90045362903226;432
"{SECTEUR EST ISERE} => {Nature: PP}";0,0123767903282401;0,898148148148148;1,02628198637858;388
"{SECTEUR ALBERTVILLE} => {REGION CO 73}";0,0140355354237775;1;16,4045002616431;440
"{SECTEUR ALBERTVILLE} => {Area: 2- RURAL DYNAMIQUE}";0,01244058821653;0,886363636363636;2,26091241955766;390
"{SECTEUR ALBERTVILLE} => {Nature: PP}";0,0113560241156018;0,809090909090909;0,924519442649568;356
"{SECTEUR LE GRAND YSSINGELAIS} => {REGION CO 42 43}";0,0138122428147628;1;7,32624444963777;433
"{SECTEUR LE GRAND YSSINGELAIS} => {Area: 2- RURAL DYNAMIQUE}";0,010590449456123;0,766743648960739;1,95578898708464;332
"{SECTEUR LE GRAND YSSINGELAIS} => {Nature: PP}";0,0126638808255447;0,916859122401848;1,04766235203847;397
"{SECTEUR VALLEE DE L AUMANCE} => {REGION CO 03}";0,0140355354237775;1;14,433241252302;440
"{SECTEUR VALLEE DE L AUMANCE} => {Area: 1- RURAL AGE}";0,0130147692111391;0,927272727272727;3,26986194907455;408
"{SECTEUR VALLEE DE L AUMANCE} => {Nature: PP}";0,0121534977192255;0,865909090909091;0,989443560813162;381
"{SECTEUR VAL D ALLIER ET SANCY} => {REGION CO 63}";0,0141631312003573;1;12,9755794701987;444
"{SECTEUR VAL D ALLIER ET SANCY} => {Nature: PP}";0,0128552744904144;0,907657657657658;1,03714816511427;403
"{SECTEUR GRENOBLE} => {REGION CO 38}";0,0142588280327921;1;7,90045362903226;447
"{SECTEUR GRENOBLE} => {Nature: PP}";0,0130147692111391;0,912751677852349;1,04296892104951;408
"{SECTEUR CHALONNAIS} => {REGION CO 71}";0,0145140195859517;1;8,57467177242888;455
"{SECTEUR CHALONNAIS} => {Nature: PP}";0,0129828702669942;0,894505494505495;1,02211965544934;407
"{SECTEUR BOURGOIN} => {REGION CO 38}";0,0146735143066764;1;7,90045362903226;460
"{SECTEUR BOURGOIN} => {Area: 2- RURAL DYNAMIQUE}";0,0103033589588185;0,702173913043478;1,79108624898291;323
"{SECTEUR BOURGOIN} => {Nature: PP}";0,0133018597084437;0,906521739130435;1,0358501913614;417
"{SECTEUR MONT BLANC} => {REGION CO 74}";0,0150882005805608;1;11,679955290611;473
"{SECTEUR MONT BLANC} => {Area: 2- RURAL DYNAMIQUE}";0,0125681839931098;0,832980972515856;2,12474536268508;394
"{SECTEUR MONT BLANC} => {Nature: PP}";0,0124086892723851;0,822410147991543;0,939738863837685;389
"{SECTEUR PAYS DE RIOM ET SIOULE} => {REGION CO 63}";0,0154390889661552;1;12,9755794701987;484
"{SECTEUR PAYS DE RIOM ET SIOULE} => {Nature: PP}";0,0118026093336311;0,764462809917355;0,873524498928346;370
"{SECTEUR BERRY CENTRE OUEST} => {REGION CO 18}";0,014928705859836;1;22,4563037249284;468
"{SECTEUR BERRY CENTRE OUEST} => {Nature: PP}";0,0135889502057482;0,91025641025641;1,04011766740034;426
"{SECTEUR ST MARCELLIN VERCORS} => {REGION CO 38}";0,0153114931895754;1;7,90045362903226;480
"{SECTEUR ST MARCELLIN VERCORS} => {Nature: PP}";0,0127914766021245;0,835416666666667;0,954600950732033;401
"{SECTEUR GRESIVAUDAN} => {REGION CO 38}";0,0151519984688507;1;7,90045362903226;475
"{SECTEUR GRESIVAUDAN} => {Nature: PP}";0,0134294554850234;0,886315789473684;1,01276157041044;421
"{SECTEUR AIX LES BAINS} => {REGION CO 73}";0,0154071900220103;1;16,4045002616431;483
"{SECTEUR AIX LES BAINS} => {Area: 2- RURAL DYNAMIQUE}";0,0128871734345593;0,836438923395445;2,13356581037623;404
"{SECTEUR AIX LES BAINS} => {Nature: PP}";0,0137484449264729;0,892339544513458;1,01964470132868;431
"{SECTEUR HT BUGEY ET PAYS GEX} => {REGION CO 01}";0,0156942805193148;1;11,4162418062637;492
"{SECTEUR HT BUGEY ET PAYS GEX} => {Nature: PP}";0,0147373121949663;0,939024390243902;1,07298981628417;462
"{SECTEUR OUEST 71} => {REGION CO 71}";0,0159813710166193;1;8,57467177242888;501
"{SECTEUR OUEST 71} => {Area: 1- RURAL AGE}";0,0149925037481259;0,93812375249501;3,30812615488932;470
"{SECTEUR OUEST 71} => {Nature: PP}";0,0131423649877189;0,822355289421158;0,939676178897899;412
"{SECTEUR SUD ALLIER} => {REGION CO 03}";0,0161089667931991;1;14,433241252302;505
"{SECTEUR SUD ALLIER} => {Area: 1- RURAL AGE}";0,011196529394877;0,695049504950495;2,45096815868314;351
"{SECTEUR SUD ALLIER} => {Nature: PP}";0,0136527480940381;0,847524752475248;0,968436430302407;428
"{SECTEUR ROANNAIS} => {REGION CO 42 43}";0,0163641583463587;1;7,32624444963777;513
"{SECTEUR ROANNAIS} => {Nature: PP}";0,0142588280327921;0,871345029239766;0,995655014457351;447
"{SECTEUR MONTAGNES SUD} => {REGION CO 38}";0,0169383393409678;1;7,90045362903226;531
"{SECTEUR MONTAGNES SUD} => {Nature: PP}";0,0129828702669942;0,766478342749529;0,875827576703298;407
"{SECTEUR VALLEE DU GIER} => {REGION CO 42 43}";0,0167469456760981;1;7,32624444963777;525
"{SECTEUR VALLEE DU GIER} => {Area: 2- RURAL DYNAMIQUE}";0,0110051357300073;0,657142857142857;1,676222248053;345
"{SECTEUR VALLEE DU GIER} => {Nature: PP}";0,014354524865227;0,857142857142857;0,979426696867921;450
"{SECTEUR VIENNE} => {REGION CO 38}";0,0173211266707072;1;7,90045362903226;543
"{SECTEUR VIENNE} => {Area: 2- RURAL DYNAMIQUE}";0,0140036364796325;0,808471454880295;2,06222714719629;439
"{SECTEUR VIENNE} => {Nature: PP}";0,0158218762958946;0,913443830570902;1,04375981937551;496
"{SECTEUR OUEST LOIRE} => {REGION CO 42 43}";0,0175444192797218;1;7,32624444963777;550
"{SECTEUR OUEST LOIRE} => {Area: 2- RURAL DYNAMIQUE}";0,0100481674056589;0,572727272727273;1,46089725571418;315
"{SECTEUR OUEST LOIRE} => {Sex: M}";0,0102076621263836;0,581818181818182;1,06513771208936;320
"{SECTEUR OUEST LOIRE} => {Nature: PP}";0,0152795942454305;0,870909090909091;0,995156883211558;479
"{SECTEUR LE GRAND PUY} => {REGION CO 42 43}";0,0175444192797218;1;7,32624444963777;550
"{SECTEUR LE GRAND PUY} => {Sex: M}";0,0102076621263836;0,581818181818182;1,06513771208936;320
"{SECTEUR LE GRAND PUY} => {Nature: PP}";0,0151838974129956;0,865454545454545;0,988924167867853;476
"{SECTEUR DOMBES COTIERE} => {REGION CO 01}";0,0180229034418961;1;11,4162418062637;565
"{SECTEUR DOMBES COTIERE} => {Area: 2- RURAL DYNAMIQUE}";0,0101757631822387;0,564601769911504;1,44017094263269;319
"{SECTEUR DOMBES COTIERE} => {Nature: PP}";0,0151200995247057;0,838938053097345;0,958624713925594;474
"{SECTEUR NORD 71} => {REGION CO 71}";0,0181823981626208;1;8,57467177242888;570
"{SECTEUR NORD 71} => {Area: 1- RURAL AGE}";0,0141312322562123;0,77719298245614;2,74063248672863;443
"{SECTEUR NORD 71} => {Sex: M}";0,0101757631822387;0,559649122807018;1,02455269509911;319
"{SECTEUR NORD 71} => {Nature: PP}";0,0155347857985901;0,854385964912281;0,976276494041738;487
"{SECTEUR HAUT BEAUJOLAIS} => {REGION CO 69}";0,0181823981626208;1;6,69707327494125;570
"{SECTEUR HAUT BEAUJOLAIS} => {Area: 2- RURAL DYNAMIQUE}";0,0108137420651376;0,594736842105263;1,51703867072074;339
"{SECTEUR HAUT BEAUJOLAIS} => {Nature: PP}";0,0153433921337204;0,843859649122807;0,96424844688722;481
"{SECTEUR VAL BERRY SUD} => {REGION CO 18}";0,0184375897157804;1;22,4563037249284;578
"{SECTEUR VAL BERRY SUD} => {Area: 1- RURAL AGE}";0,0153752910778653;0,833910034602076;2,94063505902593;482
"{SECTEUR VAL BERRY SUD} => {Nature: PP}";0,0143864238093719;0,780276816608997;0,891594602656294;451
"{SECTEUR BIEVRE VOIRON} => {REGION CO 38}";0,0184694886599254;1;7,90045362903226;579
"{SECTEUR BIEVRE VOIRON} => {Area: 2- RURAL DYNAMIQUE}";0,0166512488436633;0,901554404145078;2,29966061965371;522
"{SECTEUR BIEVRE VOIRON} => {Sex: M}";0,0101757631822387;0,550949913644214;1,00862700553799;319
"{SECTEUR BIEVRE VOIRON} => {Nature: PP}";0,016204663625634;0,877374784110535;1,00254500116935;508
"{SECTEUR SOLOGNE VAL D ALLIER} => {REGION CO 03}";0,0183737918274905;1;14,433241252302;576
"{SECTEUR SOLOGNE VAL D ALLIER} => {Area: 1- RURAL AGE}";0,016842642508533;0,916666666666667;3,23246156730409;528
"{SECTEUR SOLOGNE VAL D ALLIER} => {Sex: M}";0,0104947526236882;0,571180555555556;1,04566335179345;329
"{SECTEUR SOLOGNE VAL D ALLIER} => {Nature: PP}";0,0166193498995183;0,904513888888889;1,03355589220987;521
"{SECTEUR SAINT ETIENNE} => {REGION CO 42 43}";0,0188841749338097;1;7,32624444963777;592
"{SECTEUR SAINT ETIENNE} => {Area: 2- RURAL DYNAMIQUE}";0,0102714600146735;0,543918918918919;1,38741368504387;322
"{SECTEUR SAINT ETIENNE} => {Sex: M}";0,0108775399534275;0,576013513513513;1,0545110742312;341
"{SECTEUR SAINT ETIENNE} => {Nature: PP}";0,0174806213914319;0,925675675675676;1,05773671429768;548
"{SECTEUR COTEAUX DU LYONNAIS} => {REGION CO 69}";0,0189798717662445;1;6,69707327494125;595
"{SECTEUR COTEAUX DU LYONNAIS} => {Area: 2- RURAL DYNAMIQUE}";0,0107180452327028;0,564705882352941;1,44043650983583;336
"{SECTEUR COTEAUX DU LYONNAIS} => {Sex: M}";0,0106861462885578;0,563025210084034;1,03073331645202;335
"{SECTEUR COTEAUX DU LYONNAIS} => {Nature: PP}";0,017448722447287;0,919327731092437;1,05048314350344;547
"{SECTEUR CHAROLLAIS BRIONNAIS} => {REGION CO 71}";0,0204472231969122;1;8,57467177242888;641
"{SECTEUR CHAROLLAIS BRIONNAIS} => {Area: 1- RURAL AGE}";0,0189479728220996;0,926677067082683;3,26776145961474;594
"{SECTEUR CHAROLLAIS BRIONNAIS} => {Sex: M}";0,0118026093336311;0,577223088923557;1,05672545051767;370
"{SECTEUR CHAROLLAIS BRIONNAIS} => {Nature: PP}";0,0173211266707072;0,847113884555382;0,967966946124537;543
"{SECTEUR MACONNAIS} => {REGION CO 71}";0,020542920029347;1;8,57467177242888;644
"{SECTEUR MACONNAIS} => {Sex: M}";0,011196529394877;0,545031055900621;0,997791320452498;351
"{SECTEUR MACONNAIS} => {Nature: PP}";0,0184056907716355;0,895962732919255;1,02378479002317;577
"{Complaint Sub_Type: ACP} => {Complaint Type: RECLAMATION SINISTRE}";0,0186289833806501;0,850072780203785;2,3098666539489;584
"{Complaint Sub_Type: ACP} => {Sex: M}";0,0130466681552841;0,595342066957787;1,08989596222026;409
"{Complaint Sub_Type: ACP} => {Nature: PP}";0,0189160738779546;0,863173216885007;0,986317374744964;593
"{Complaint Sub_Type: RELATIONNEL} => {Complaint Type: RECLAMATION GESTION CONTRAT}";0,0142588280327921;0,635846372688478;1,99670919938006;447
"{Complaint Sub_Type: RELATIONNEL} => {Sex: M}";0,0119302051102109;0,532005689900427;0,973945712023387;374
"{Complaint Sub_Type: RELATIONNEL} => {Nature: PP}";0,0201920316437526;0,900426742532006;1,02888565524461;633
"{Complaint Sub_Type: METIER} => {Complaint Type: RECLAMATION CONTRAT}";0,016204663625634;0,590697674418605;18,2801395807985;508
"{Complaint Type: RECLAMATION CONTRAT} => {Complaint Sub_Type: METIER}";0,016204663625634;0,501480750246792;18,2801395807985;508
"{Complaint Sub_Type: METIER} => {Sex: M}";0,0151200995247057;0,551162790697674;1,00901672071837;474
"{Complaint Sub_Type: METIER} => {Nature: PP}";0,0241475007177262;0,880232558139535;1,00581047804324;757
"{SECTEUR EST LYONNAIS} => {REGION CO 69}";0,0268270120259019;1;6,69707327494125;841
"{SECTEUR EST LYONNAIS} => {Activity: PARTICULIER}";0,0158537752400396;0,590963139120095;1,35911550497219;497
"{SECTEUR EST LYONNAIS} => {Nature: PP}";0,0235414207789722;0,877526753864447;1,00271865160913;738
"{Survey Response: Low} => {Complaint Type: RECLAMATION SINISTRE}";0,0150244026922709;0,545138888888889;1,48128274488843;471
"{Survey Response: Low} => {Sex: M}";0,018086701330186;0,65625;1,20140044674142;567
"{Survey Response: Low} => {Nature: PP}";0,0258062458132636;0,936342592592593;1,06992542136633;809
"{Complaint Sub_Type: CONTESTATION DOC} => {Complaint Type: RECLAMATION GESTION CONTRAT}";0,0225206545663339;0,721144024514811;2,26456416152608;706
"{Complaint Sub_Type: CONTESTATION DOC} => {Sex: M}";0,0170021372292577;0,544433094994893;0,996696630167887;533
"{Complaint Sub_Type: CONTESTATION DOC} => {Nature: PP}";0,0283581613448595;0,908069458631256;1,0376187154595;889
"{Complaint Type: RECLAMATION CONTRAT} => {Sex: M}";0,0186289833806501;0,576505429417572;1,05541162735409;584
"{Complaint Type: RECLAMATION CONTRAT} => {Nature: PP}";0,0294427254457877;0,911154985192497;1,04114443706213;923
"{Complaint Sub_Type: REFUS PRISE EN CHARGE} => {Complaint Type: RECLAMATION SINISTRE}";0,0333024976873266;1;2,71725751928578;1044
"{Complaint Sub_Type: REFUS PRISE EN CHARGE} => {Sex: M}";0,018054802386041;0,542145593869732;0,992508889407978;566
"{Complaint Sub_Type: REFUS PRISE EN CHARGE} => {Nature: PP}";0,0248492774889151;0,746168582375479;0,852620334933074;779
"{Survey Response: High} => {Sex: M}";0,020542920029347;0,643356643356643;1,17779650856035;644
"{Survey Response: High} => {Nature: PP}";0,0304315927142812;0,953046953046953;1,08901290071328;954
"{REGION CO 58} => {Area: 1- RURAL AGE}";0,028645251842164;0,774805867126834;2,73221475011913;898
"{REGION CO 58} => {Sex: M}";0,0200963348113177;0,543572044866264;0,995120301011009;630
"{REGION CO 58} => {Nature: PP}";0,0315161568152094;0,852459016393443;0,974074638415091;988
"{Complaint Sub_Type: CONTESTATION TARIF FRAIS} => {Complaint Type: RECLAMATION COTISATION}";0,0310057737088902;0,820253164556962;6,6188201945164;972
"{Complaint Sub_Type: CONTESTATION TARIF FRAIS} => {Sex: M}";0,020542920029347;0,543459915611814;0,994915025374607;644
"{Complaint Sub_Type: CONTESTATION TARIF FRAIS} => {Nature: PP}";0,0348017480621391;0,920675105485232;1,05202274036291;1091
"{SECTEUR LYON} => {REGION CO 69}";0,0405754569523749;1;6,69707327494125;1272
"{SECTEUR LYON} => {Activity: PARTICULIER}";0,0274968898529459;0,677672955974843;1,55853345292754;862
"{SECTEUR LYON} => {Sex: M}";0,0206705158059268;0,509433962264151;0,932623527389563;648
"{SECTEUR LYON} => {Nature: PP}";0,0401288717343456;0,988993710691824;1,13008798383372;1258
"{REGION CO 18} => {Area: 1- RURAL AGE}";0,0301764011611216;0,677650429799427;2,38961342224772;946
"{REGION CO 18} => {Sex: M}";0,0241156017735813;0,541547277936963;0,991413549173432;756
"{REGION CO 18} => {Nature: PP}";0,0382149350856487;0,858166189111748;0,980596021959693;1198
"{Area: 6- HORS TERRITOIRE} => {Activity: PARTICULIER}";0,0325688219719927;0,610280932456665;1,4035431700964;1021
"{Area: 6- HORS TERRITOIRE} => {Sex: M}";0,0280710708475549;0,526001195457262;0,962953251365903;880
"{Area: 6- HORS TERRITOIRE} => {Nature: PP}";0,0504322306931641;0,945008965929468;1,07982817834601;1581
"{REGION CO 73} => {Area: 2- RURAL DYNAMIQUE}";0,0456792880155667;0,749345892203035;1,91141125912717;1432
"{REGION CO 73} => {Sex: M}";0,033015407190022;0,54160125588697;0,991512366900294;1035
"{REGION CO 73} => {Nature: PP}";0,0525694599508756;0,862375719518577;0,985406102831706;1648
"{Advantage: DERO_CONSO} => {Consume Advantage: 03 - CONSOMME}";0,054802386041022;1;17,1118995633188;1718
"{Consume Advantage: 03 - CONSOMME} => {Advantage: DERO_CONSO}";0,054802386041022;0,937772925764192;17,1118995633188;1718
"{Advantage: DERO_CONSO} => {Complaint Type: RECLAMATION SINISTRE}";0,0489010813742065;0,892316647264261;2,42465411936269;1533
"{Advantage: DERO_CONSO} => {Sex: M}";0,0302401990494115;0,551804423748545;1,01019136183679;948
"{Advantage: DERO_CONSO} => {Nature: PP}";0,0396184886280264;0,722933643771828;0,826070595903154;1242
"{Area: 5- HYPER CENTRE} => {Activity: PARTICULIER}";0,0393632970748668;0,607582471688823;1,39733716564984;1234
"{Area: 5- HYPER CENTRE} => {Sex: M}";0,0327283166927175;0,505169867060561;0,924817225092358;1026
"{Area: 5- HYPER CENTRE} => {Nature: PP}";0,0593001371654598;0,915312653865091;1,04589525737258;1859
"{Consume Advantage: 03 - CONSOMME} => {Complaint Type: RECLAMATION SINISTRE}";0,0513891990175125;0,879366812227074;2,38946608273438;1611
"{Consume Advantage: 03 - CONSOMME} => {Sex: M}";0,0321222367539634;0,549672489082969;1,00628841744114;1007
"{Consume Advantage: 03 - CONSOMME} => {Nature: PP}";0,0422023031037673;0,722161572052402;0,825188376973601;1323
"{Complaint Sub_Type: DEFAUT SUIVI} => {Complaint Type: RECLAMATION GESTION CONTRAT}";0,0439567450317394;0,641228478362029;2,01361029431746;1378
"{Complaint Sub_Type: DEFAUT SUIVI} => {Sex: M}";0,0356311206099078;0,519776640297813;0,951557924357401;1117
"{Complaint Sub_Type: DEFAUT SUIVI} => {Nature: PP}";0,0579922804555169;0,845974872033504;0,966665436973877;1818
"{Complaint Sub_Type: DEFAUT INFO/SUIVI} => {Complaint Type: RECLAMATION GESTION CONTRAT}";0,0444352291939137;0,643715341959335;2,02141963889444;1393
"{Complaint Sub_Type: DEFAUT INFO/SUIVI} => {Sex: M}";0,0357268174423427;0,517560073937153;0,947500044256939;1120
"{Complaint Sub_Type: DEFAUT INFO/SUIVI} => {Nature: PP}";0,0599700149925037;0,868761552680222;0,992702967558676;1880
"{REGION CO 03} => {Area: 1- RURAL AGE}";0,0572905036843281;0,826887661141805;2,91587191103874;1796
"{REGION CO 03} => {Sex: M}";0,038629621359533;0,557550644567219;1,02071099956422;1211
"{REGION CO 03} => {Nature: PP}";0,0609269833168522;0,879373848987109;1,00482926159639;1910
"{REGION CO 63} => {Sex: M}";0,0407668506172446;0,528973509933775;0,968394683655332;1278
"{REGION CO 63} => {Nature: PP}";0,067944751028741;0,881622516556291;1,0073987341543;2130
"{REGION CO 74} => {Activity: PARTICULIER}";0,0438610481993046;0,512295081967213;1,1781922474206;1375
"{REGION CO 74} => {Sex: M}";0,0452646017416823;0,528688524590164;0,967872959435707;1419
"{REGION CO 74} => {Nature: PP}";0,0754410029028039;0,881147540983607;1,00685599643868;2365
"{REGION CO 01} => {Area: 2- RURAL DYNAMIQUE}";0,0640849787872021;0,731609613983977;1,86617003977085;2009
"{REGION CO 01} => {Sex: M}";0,0484544961561772;0,553168244719592;1,01268811631129;1519
"{REGION CO 01} => {Nature: PP}";0,077259242719066;0,882010196649672;1,00784172242648;2422
"{Complaint Sub_Type: DELAI} => {Sex: M}";0,050496028581454;0,540273037542662;0,989080790348336;1583
"{Complaint Sub_Type: DELAI} => {Nature: PP}";0,0823311748381129;0,880887372013652;1,00655871059799;2581
"{Activity: ACPS} => {Nature: PM}";0,0524418641742958;0,511194029850746;4,09438468109122;1644
"{Complaint Sub_Type: CONTESTATION POSITION} => {Complaint Type: RECLAMATION SINISTRE}";0,0635107977925931;0,672180958811614;1,82648876465158;1991
"{Complaint Sub_Type: CONTESTATION POSITION} => {Sex: M}";0,0511978053526428;0,541863605671843;0,99199265207934;1605
"{Complaint Sub_Type: CONTESTATION POSITION} => {Nature: PP}";0,0795559666975023;0,841998649561107;0,962121948791367;2494
"{Area: 4- GRANDE PERIPHERIE AISEE} => {Sex: M}";0,0544514976554276;0,541560913705584;0,991438512249261;1707
"{Area: 4- GRANDE PERIPHERIE AISEE} => {Nature: PP}";0,0884238731697981;0,879441624365482;1,00490670611385;2772
"{Nature: PM} => {Activity: AGRICOLE}";0,0674662668665667;0,540367910066428;3,40570840624698;2115
"{Nature: PM} => {Complaint Type: RECLAMATION SINISTRE}";0,064180675619637;0,514052120592744;1,39681198998543;2012
"{Area: 3- PERIURBAIN} => {Activity: PARTICULIER}";0,0553765670356311;0,523049111178066;1,20292470004557;1736
"{Area: 3- PERIURBAIN} => {Sex: M}";0,0544514976554276;0,514311539620368;0,941552934802552;1707
"{Area: 3- PERIURBAIN} => {Nature: PP}";0,0970684870330792;0,91684242241639;1,04764326955828;3043
"{REGION CO 71} => {Area: 1- RURAL AGE}";0,0718364222144247;0,615973741794311;2,17212157834756;2252
"{REGION CO 71} => {Sex: M}";0,0646272608376663;0,554157549234136;1,0144992414705;2026
"{REGION CO 71} => {Nature: PP}";0,100641168777313;0,862964989059081;0,986079440204597;3155
"{Complaint Type: RECLAMATION SOUSCRIPTION} => {Sex: M}";0,0619796484736355;0,528707482993197;0,967907666687324;1943
"{Complaint Type: RECLAMATION SOUSCRIPTION} => {Nature: PP}";0,101980924431401;0,869931972789116;0,994040365043411;3197
"{Complaint Type: RECLAMATION RESILIATION} => {Complaint Sub_Type: INCOMPREHENSION CLIENT}";0,062904717853839;0,527272727272727;1,50445733387392;1972
"{Complaint Type: RECLAMATION RESILIATION} => {Activity: PARTICULIER}";0,0670196816485374;0,561764705882353;1,29196403526564;2101
